,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,14151,2020-04-01,7,65,13,1014,2
1,14151,2020-04-02,6,75,15,1017,1
2,14151,2020-04-03,6,84,10,1016,1
3,14151,2020-04-04,11,85,3,1018,2
4,14151,2020-04-05,10,82,8,1019,2
5,14151,2020-04-06,13,46,6,1020,3
6,14151,2020-04-07,17,55,5,1011,3
7,14151,2020-04-08,14,81,9,1002,3
8,14151,2020-04-09,8,68,22,995,2
9,14151,2020-04-10,5,64,26,1002,1
10,14151,2020-04-11,7,57,17,1015,1
11,14151,2020-04-12,14,63,13,1013,3
12,14151,2020-04-13,16,80,29,999,3
13,14151,2020-04-14,5,50,21,1018,1
14,14151,2020-04-15,5,55,17,1016,1
15,14151,2020-04-16,3,54,17,1021,1
16,14151,2020-04-17,4,70,10,1020,1
17,14151,2020-04-18,7,74,15,1012,2
18,14151,2020-04-19,7,79,21,1008,2
19,14151,2020-04-20,11,56,8,1008,3
20,14151,2020-04-21,6,59,28,1002,1
21,14151,2020-04-22,6,51,20,1015,1
22,14151,2020-04-23,3,73,11,1015,1
23,14151,2020-04-24,7,85,10,1010,2
24,14151,2020-04-25,14,68,10,1016,3
25,14151,2020-04-26,7,92,21,1013,2
26,14151,2020-04-27,12,73,13,1019,2
27,14151,2020-04-28,14,67,9,1018,3
28,14151,2020-04-29,19,75,23,1012,3
29,14151,2020-04-30,13,85,15,1004,3
30,14151,2020-05-01,12,83,12,1010,3
31,14151,2020-05-02,18,75,13,1014,3
32,14151,2020-05-03,18,76,16,1007,4
33,14151,2020-05-04,10,64,16,1014,2
34,14151,2020-05-05,9,49,10,1016,3
35,14151,2020-05-06,10,54,12,1012,2
36,14151,2020-05-07,12,64,14,1011,2
37,14151,2020-05-08,7,49,14,1011,2
38,14151,2020-05-09,6,54,21,1015,1
39,14151,2020-05-10,11,70,16,1015,2
40,14151,2020-05-11,7,85,12,1013,1
41,14151,2020-05-12,9,57,16,1020,2
42,14151,2020-05-13,13,55,5,1027,3
43,14151,2020-05-14,15,74,10,1020,3
44,14151,2020-05-15,17,88,23,1010,4
45,14151,2020-05-16,20,77,10,1017,5
46,14151,2020-05-17,18,89,20,1010,4
47,14151,2020-05-18,14,90,19,1019,3
48,14151,2020-05-19,19,77,17,1022,5
49,14151,2020-05-20,19,54,14,1027,5
50,14151,2020-05-21,23,52,8,1025,5
51,14151,2020-05-22,22,83,6,1019,4
52,14151,2020-05-23,21,84,7,1017,4
53,14151,2020-05-24,26,79,15,1018,5
54,14151,2020-05-25,28,79,14,1017,5
55,14151,2020-05-26,31,73,7,1019,6
56,14151,2020-05-27,29,67,9,1019,7
57,14151,2020-05-28,23,82,13,1014,5
58,14151,2020-05-29,25,79,18,1010,5
59,14151,2020-05-30,18,74,16,1016,4
60,14151,2020-05-31,14,62,13,1023,4
