,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,35142,2020-04-01,18,67,11,1016,4
1,35142,2020-04-02,22,63,7,1019,4
2,35142,2020-04-03,26,60,5,1017,5
3,35142,2020-04-04,26,62,5,1015,6
4,35142,2020-04-05,27,63,5,1017,6
5,35142,2020-04-06,27,72,6,1018,6
6,35142,2020-04-07,22,89,7,1016,4
7,35142,2020-04-08,24,94,11,1010,5
8,35142,2020-04-09,24,70,13,1009,6
9,35142,2020-04-10,16,48,12,1017,4
10,35142,2020-04-11,21,56,8,1017,5
11,35142,2020-04-12,22,86,18,1009,4
12,35142,2020-04-13,19,79,13,1013,4
13,35142,2020-04-14,18,68,10,1018,4
14,35142,2020-04-15,16,51,12,1020,4
15,35142,2020-04-16,20,55,8,1024,4
16,35142,2020-04-17,22,67,12,1020,5
17,35142,2020-04-18,21,66,10,1016,5
18,35142,2020-04-19,21,91,6,1009,4
19,35142,2020-04-20,23,74,9,1008,5
20,35142,2020-04-21,24,70,9,1015,5
21,35142,2020-04-22,21,66,10,1017,4
22,35142,2020-04-23,20,94,14,1007,4
23,35142,2020-04-24,25,78,7,1010,5
24,35142,2020-04-25,25,73,16,1011,6
25,35142,2020-04-26,20,65,15,1019,5
26,35142,2020-04-27,23,57,5,1023,5
27,35142,2020-04-28,25,59,9,1019,6
28,35142,2020-04-29,18,92,13,1010,4
29,35142,2020-04-30,21,72,13,1013,4
30,35142,2020-05-01,25,68,6,1018,6
31,35142,2020-05-02,27,69,7,1020,6
32,35142,2020-05-03,28,70,9,1017,6
33,35142,2020-05-04,30,74,8,1014,6
34,35142,2020-05-05,29,81,13,1012,5
35,35142,2020-05-06,22,65,14,1017,5
36,35142,2020-05-07,22,56,6,1021,5
37,35142,2020-05-08,17,81,11,1015,3
38,35142,2020-05-09,20,61,9,1023,4
39,35142,2020-05-10,23,55,6,1022,5
40,35142,2020-05-11,20,58,10,1023,5
41,35142,2020-05-12,25,58,6,1023,5
42,35142,2020-05-13,27,63,9,1022,6
43,35142,2020-05-14,28,65,12,1020,6
44,35142,2020-05-15,28,68,11,1018,6
45,35142,2020-05-16,30,65,9,1016,7
46,35142,2020-05-17,32,68,7,1015,7
47,35142,2020-05-18,26,89,11,1008,5
48,35142,2020-05-19,22,76,9,1009,4
49,35142,2020-05-20,26,69,6,1011,6
50,35142,2020-05-21,28,74,7,1014,6
51,35142,2020-05-22,30,81,10,1016,6
52,35142,2020-05-23,30,83,8,1017,6
53,35142,2020-05-24,32,74,7,1016,7
54,35142,2020-05-25,31,74,11,1015,7
55,35142,2020-05-26,22,93,12,1015,5
56,35142,2020-05-27,24,93,10,1013,5
57,35142,2020-05-28,30,75,8,1014,6
58,35142,2020-05-29,31,72,5,1016,6
59,35142,2020-05-30,29,67,9,1017,7
60,35142,2020-05-31,29,64,9,1019,7
